,0
293,17754060323.76341
294,19498628.363749214
295,285884341.34129703
296,103016858187.7954
297,20645720.496438365
298,187970166.06500286
299,164429574.46261832
300,28302788.531657554
301,65711814.29551724
302,164145414.0126552
303,30622914.19849174
304,83125568.89042158
305,328422804.68310696
306,25863472.12852992
307,128290035.4153779
308,11571347183.836075
309,33675735.601849794
310,285942608.46783054
311,328452059.09429705
312,26674527.347116202
313,285977719.5424453
314,328451245.4858419
315,32185643.093165137
316,187747045.1041295
317,85016156212.10123
318,34451518.65455274
319,67108595.18982051
320,8.665594350876996e+26
321,19349259.892207857
322,62503243.762574114
323,349317150579.94257
324,29642758.471150983
325,61986114.96811245
326,1.3502643000738422e+25
327,30696361.196647257
328,56574077.16279252
329,328451245.4858419
330,25988493.642786726
331,64995204.00738927
332,7.339792838825321e+24
333,26700088.554878525
334,66730870.020820856
335,10926054570.561157
336,31751740.7330042
337,83663184.88385229
338,328451245.4858419
339,20861924.87396719
340,68345147.94558372
341,328441038.39982927
342,20777988.923545502
343,50106740.12684691
344,328442669.06017566
345,28234928.05744012
346,56861669.50934346
347,164797834.8321746
348,28530266.876326405
349,285961688.966447
350,328415875.82240593
351,19429995.301128067
352,68060059.66175595
353,328464774.6420883
354,26809595.18200958
355,54447292.87400602
356,328451245.4858419
357,26845062.799507886
358,68758227.92030513
359,27043342308.84494
360,27181199.948929776
361,71507814.46825618
362,5.559385528967702e+24
363,29180668.283222906
364,55611647.113245524
365,1.410719661630295e+27
366,27962118.76224398
367,69450120.80800927
368,1064017587785.2996
369,32998759.806157984
370,187743670.5062462
371,328450439.35334116
372,31447777.567115795
373,65011103.250584796
374,3199093418.7806787
375,26804131.481279064
376,89448357.83366504
377,328451245.4858419
378,20773198.97448721
379,68105040.92147
380,164166006.98943663
381,19425569.268348683
382,75961622.6653178
383,328354522.10198563
384,26236068.95902765
385,81552666.16174293
386,74970368005.72604
387,20638822.159198903
388,60775488.31396824
389,328442669.06017566
390,31184726.82854405
391,79613079.51298282
392,328451245.4858419
393,20638822.1591989
394,187740811.10978383
395,328524374.30122185
396,19456592.682206687
397,187854380.0212379
398,328451026.304189
399,19378179.247190643
400,76703387.30707617
401,328451245.4858419
402,32782967.87165454
403,67085086.35974419
404,33642574818.89324
405,20620532.225385625
406,285962182.39181584
407,164214223.86953792
408,32528951.77650457
409,89426839.6931118
410,163897733.10923448
411,26475325.170516096
412,66264406.75210701
413,328451245.4858419
414,20853257.389402498
415,128219261.84090774
416,328451245.4858419
417,26222121.94562058
418,187825784.09838355
419,328414166.7675743
420,35787046.40988852
421,128175816.23254235
422,328440174.6470891
423,32139123.158536863
424,65165497.65951159
425,164059512.4947266
426,27959428.53611038
427,89028569.17155884
428,328421152.1689623
429,31886291.255139343
430,187792821.23483783
431,328452503.3712377
432,20853257.3894025
433,66548484.694584
434,181857449698.83066
435,20645720.496438365
436,62604675.236190364
437,328451245.4858419
438,19474533.49983741
439,127883823.51649591
440,328451245.4858419
441,33687284.489520624
442,127979721.25280967
443,132327109435.59041
444,34295724.505634226
445,81705286.57092151
446,328473169.7505762
447,28497621.286792837
448,66234836.67328741
449,328453876.6867842
450,26736656.18170982
451,285968269.2299907
452,328451245.4858419
453,26799903.43125655
454,128479817.59956822
455,328451245.4858419
456,32030491.242236983
457,65853450.56300118
458,164062872.5300668
459,34365042.60139057
460,56694173.48905685
461,834289544769.1527
462,26471702.86143502
463,187807486.04205382
464,328451245.4858419
465,27793248.16627134
466,57199177.3388982
467,36035519314.32552
468,27703008.724505804
469,55343071.56821386
470,1.3212531617868072e+27
471,27719695.963098843
472,67267819.40268236
473,328451245.4858419
474,36825674.358941585
475,64119042.761700116
476,164639476.55825943
477,35449206.99758501
478,87514327.79095772
479,328451245.4858419
480,33720431.285321124
481,57966555.93163
482,8843115840.501862
483,26909005.980961382
484,67817415.29821786
485,3.9660664871175115e+26
486,28142245.484718602
487,71993838.74390969
488,328352819.9895884
489,33842751.915812664
490,84733811.3672888
491,328451245.4858419
492,33652891.80095141
493,59914270.70348589
494,328437382.423017
495,27910080.81555925
496,89989240.87228397
497,328341521.01017505
498,32876705.418022465
499,285921206.4743536
500,164167524.93096158
501,19428694.79130531
502,285957698.562018
503,328498059.8765221
504,20853257.389402498
505,128141107.56792767
506,328484751.8610808
507,20620532.225385625
508,64581690.85478264
509,10260359340.459923
510,27142138.445367813
511,187518256.9947334
512,8.087275553204342e+26
513,33964896.49174998
514,61578152.73569205
515,328448501.9549669
516,31659703.33391155
517,187907755.88148138
518,8.89005289486511e+26
519,19384498.3455614
520,71817044.53684422
521,328471437.9925443
522,35498172.97176859
523,285973395.8184966
524,8.403279466046859e+25
525,19377721.939847413
526,79805386.9703023
527,1.493570273546896e+27
528,33022864.28182345
529,83770349.13391192
530,328451245.4858419
531,35229323.51238338
532,68064387.823315
533,328448501.9549669
534,20773198.974487208
535,89549151.01402314
536,9.566739199484585e+24
537,30676475.334400315
538,67322340.32347822
539,164168132.50644895
540,27764702.25061347
541,77213519.33425699
542,73628146710.17831
543,29095486.942439355
544,78780856.37534839
545,1.1496554640682776e+25
546,19349494.480972826
547,127823747.3827895
548,164239287.43036634
549,20861924.873967186
550,127989775.02613005
551,164434171.90312818
552,20645720.49643836
553,81423291.87179592
554,164031820.85442623
555,19427116.760695435
556,89239605.97090918
557,20577497345.925335
558,26271405.292651083
559,65302005.68544465
